ᶭ	ᴍǫʏʜ'@ᴍʀǫʜ'@ᴜᴜʜ'@ᴡɪʜ'@ᴡʏʜ'@xꜰʜ'〔拉-小:@extIPA〕
ᵡ	xʜ'〔拉-小:@extIPA〕
ᶫ	ʟʜ;〔拉-大:@extIPA〕
ᶰ	ɴʜ;〔拉-大:@extIPA〕
ʶ	ʀᴋʜ;〔拉-大:@extIPA〕
ˁ	ᴄꜰᴋʜ'@ᴄꜰʏʜ'@ᴄʏʜ'〔拉-小:@extIPA〕
ᵸ	ʜʜ'〔拉-小:@extIPA〕
ˀ	ᴊꜰᴋʜ'@ᴊꜰʏʜ'@ᴊʏʜ'〔拉-小:@extIPA〕
ⁱ	ɪʜ'〔拉-小:@extIPA〕
ᶦ	ɪʜ;〔拉-大:@extIPA〕
ᵉ	ᴇʜ'〔拉-小:@extIPA〕
ᵋ	ᴇʜ'〔拉-小:@extIPA〕
ᵆ	ᴀᴇʜ'@ᴀᴇǫʜ'@ᴀʜᴇʜ'@ᴀʜᴇǫʜ'@ᴇǫᴀǫʜ'@ᴇǫᴇʜ'@ᴇǫʜᴀǫʜ'@ᴇǫʜᴇʜ'〔拉-小:@extIPA〕
ʸ	ʏʜ'〔拉-小:@extIPA〕
ʏ	ʏɪ;〔拉-大:@extIPA〕
ᶤ	ɪᴛʜ'〔拉-小:@extIPA〕
ᵻ	ɪᴛ;@ᴛꜰ;〔拉-大:@extIPA〕
ᶧ	ɪᴛʜ;@ᴛꜰʜ;〔拉-大:@extIPA〕
ᶶ	ᴜᴛʜ'〔拉-小:@extIPA〕
ᶱ	ǫʜ'〔拉-小:@extIPA〕
ᶟ	ᴢʜ'〔拉-小:@extIPA〕
ᵄ	ᴀǫʜ'〔拉-小:@extIPA〕
ᵃ	ᴀʜ'〔拉-小:@extIPA〕
ᵚ	ᴍǫʜ'〔拉-小:@extIPA〕
ᵘ	ᴜʜ'〔拉-小:@extIPA〕
ᶷ	ᴡᴋʜ'〔拉-小:@extIPA〕
ᵒ	ᴏʜ'〔拉-小:@extIPA〕
ᵓ	ᴄᴋʜ'@ᴊꜰʜ'〔拉-小:@extIPA〕
ᶺ	ʟʜ'〔拉-小:@extIPA〕
ᵅ	ᴀʜ'〔拉-小:@extIPA〕
ᶛ	ᴀǫʜ'〔拉-小:@extIPA〕
