낪	20
났	1800
낶	20
낷	20
낹	20
낺	20
낽	20
낾	20
낿	20
냀	20
냁	20
냂	20
냃	20
냆	20
냈	1800
냒	20
냓	20
냕	20
냖	20
냙	20
냚	20
냛	20
냜	20
냝	20
냞	20
냟	20
냢	20
냤	20
냬	20
냭	20
냮	20
냯	20
냰	20
냱	20
냲	20
냳	20
냴	20
냵	20
냶	20
냷	20
냸	20
냹	20
냺	20
냻	20
냼	20
냽	20
냾	20
냿	20
넀	20
넁	20
넂	20
넃	20
넄	20
넅	20
넆	20
넇	20
넊	20
넋	1800
넍	20
넎	20
넑	20
넒	1800
넓	1800
넔	20
넕	20
넖	20
넗	20
넚	20
넜	1800
넦	20
넧	20
넩	20
넪	20
넭	20
넮	20
